_key,Event_ID,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Argentina,home,23,Penalty,messi,
2,2,Argentina,home,36,Goal,di mar铆a,mac allister
3,3,France,away,41,Substitution,kolo muani,demb茅l茅
4,4,France,away,41,Substitution,Disasi,giroud
5,5,Argentina,home,52,Yellow card,fern谩ndez,
6,6,France,away,55,Yellow card,rabiot,
7,7,Argentina,home,64,Substitution,acu帽a,di mar铆a
8,8,France,away,71,Substitution,camavinga,hernandez
9,9,France,away,71,Substitution,coman,griezmann
10,10,France,away,80,Penalty,mbapp茅,
11,11,France,away,81,Goal,mbapp茅,Lloris
12,12,France,away,87,Yellow card,Lloris,
13,13,France,away,95,Yellow card,giroud,
14,14,Argentina,home,98,Yellow card,acu帽a,
15,15,Argentina,home,90,Substitution,montiel,molina
16,16,France,away,96,Substitution,fofana,rabiot
17,17,Argentina,home,102,Substitution,paredes,de paul
18,18,Argentina,home,103,Substitution,mart铆nez,谩lvarez
19,19,Argentina,home,108,Goal,messi,
20,20,France,away,113,Substitution,konat茅,varane
21,21,Argentina,home,114,Yellow card,paredes,
22,22,Argentina,home,116,Yellow card,montiel,
23,23,Argentina,home,116,Substitution,Romero,mac allister
24,24,France,away,118,Penalty,mbapp茅,
25,25,Argentina,home,121,Substitution,Otamendi,tagliafico
26,26,France,away,121,Substitution,disasi,kound茅
27,27,France,away,,PK,,
28,28,Argentina,home,,PK,,
29,29,France,away,,PK,,
30,30,Argentina,home,,PK,,
31,31,France,away,,PK,,
32,32,Argentina,home,,PK,,
33,33,France,away,,PK,,
34,34,Argentina,home,,PK,,
35,35,Argentina,home,126,Yellow card,mart铆nez,
36,36,Croatia,home,7,Goal,gvardiol,peri拧i膰
37,37,Morocco,away,9,Goal,dari,
38,38,Croatia,home,42,Goal,or拧i膰,livaja
39,39,Morocco,away,45,Substitution,Bono,sabiri
40,40,Morocco,away,56,Substitution,ounahi,el khannous
41,41,Croatia,home,61,Substitution,vla拧i膰,kramari膰
42,42,Morocco,away,64,Substitution,Sabiri,dari
43,43,Morocco,away,64,Substitution,Munir,boufal
44,44,Croatia,home,66,Substitution,petkovi膰,livaja
45,45,Croatia,home,67,Substitution,pa拧ali膰,majer
46,46,Morocco,away,67,Substitution,amallah,el yamiq
47,47,Morocco,away,69,Yellow card,ounahi,
48,48,Morocco,away,84,Yellow card,amallah,
49,49,Croatia,home,95,Substitution,Livakovi膰,or拧i膰
50,50,France,home,5,Goal,hernandez,
51,51,Morocco,away,21,Substitution,amallah,sa茂ss
52,52,Morocco,away,27,Yellow card,boufal,
53,53,Morocco,away,45,Substitution,attiyat allah,mazraoui
54,54,France,home,65,Substitution,Lloris,giroud
55,55,Morocco,away,66,Substitution,Sabiri,en-nesyri
56,56,Morocco,away,67,Substitution,Munir,boufal
57,57,Morocco,away,78,Substitution,dari,amallah
58,58,France,home,79,Substitution,kolo muani,demb茅l茅
59,59,France,home,79,Goal,kolo muani,
60,60,Croatia,away,32,Yellow card,livakovi膰,
61,61,Croatia,away,32,Yellow card,kova膷i膰,
62,62,Argentina,home,34,Penalty,messi,
63,63,Argentina,home,39,Goal,谩lvarez,
64,64,Croatia,away,45,Substitution,or拧i膰,sosa
65,65,Croatia,away,45,Substitution,vla拧i膰,pa拧ali膰
66,66,Croatia,away,50,Substitution,petkovi膰,brozovi膰
67,67,Argentina,home,62,Substitution,mart铆nez,paredes
68,68,Argentina,home,68,Yellow card,romero,
69,69,Argentina,home,69,Goal,谩lvarez,messi
70,70,Argentina,home,71,Yellow card,otamendi,
71,71,Croatia,away,72,Substitution,livaja,kramari膰
72,72,Argentina,home,74,Substitution,G贸mez,de paul
73,73,Argentina,home,74,Substitution,Rodr铆guez,谩lvarez
74,74,Croatia,away,81,Substitution,majer,modri膰
75,75,Argentina,home,86,Substitution,Otamendi,mac allister
76,76,Argentina,home,86,Substitution,Mac Allister,molina
77,77,France,away,17,Goal,tchouam茅ni,griezmann
78,78,France,away,43,Yellow card,griezmann,
79,79,France,away,46,Yellow card,demb茅l茅,
80,80,England,home,54,Penalty,kane,
81,81,France,away,78,Goal,giroud,griezmann
82,82,England,home,79,Substitution,mount,henderson
83,83,France,away,79,Substitution,coman,demb茅l茅
84,84,England,home,79,Substitution,sterling,saka
85,85,France,away,82,Yellow card,hernandez,
86,86,England,home,84,Missed penalty,kane,
87,87,England,home,85,Substitution,rashford,foden
88,88,England,home,90,Yellow card,maguire,
89,89,England,home,98,Substitution,Pickford,stones
90,90,Morocco,home,42,Goal,en-nesyri,attiyat allah
91,91,Portugal,away,51,Substitution,cancelo,guerreiro
92,92,Portugal,away,51,Substitution,ronaldo,neves
93,93,Morocco,home,57,Substitution,dari,sa茂ss
94,94,Morocco,home,65,Substitution,Bono,amallah
95,95,Morocco,home,65,Substitution,Sabiri,en-nesyri
96,96,Portugal,away,69,Substitution,Bernardo Silva,ramos
97,97,Portugal,away,69,Substitution,vitinha,ot谩vio
98,98,Morocco,home,70,Yellow card,dari,
99,99,Portugal,away,79,Substitution,horta,dalot
100,100,Morocco,home,82,Substitution,Bono,ziyech
101,101,Morocco,home,82,Substitution,Hakimi,boufal
102,102,Portugal,away,87,Yellow card,vitinha,
103,103,Morocco,home,91,Yellow card,Mazraoui,
104,104,Morocco,home,93,Second yellow card,Mazraoui,
105,105,Argentina,away,35,Goal,molina,messi
106,106,Netherlands,home,43,Yellow card,timber,
107,107,Argentina,away,43,Yellow card,acu帽a,
108,108,Argentina,away,45,Yellow card,romero,
109,109,Netherlands,home,47,Yellow card,Memphis,
110,110,Netherlands,home,45,Substitution,berghuis,bergwijn
111,111,Netherlands,home,45,Substitution,koopmeiners,de roon
112,112,Netherlands,home,64,Substitution,de jong,blind
113,113,Argentina,away,66,Substitution,paredes,de paul
114,114,Argentina,away,73,Penalty,messi,
115,115,Netherlands,home,76,Yellow card,memphis,
116,116,Argentina,away,76,Yellow card,mart铆nez,
117,117,Argentina,away,78,Substitution,tagliafico,acu帽a
118,118,Argentina,away,78,Substitution,Montiel,romero
119,119,Netherlands,home,78,Substitution,Berghuis,memphis
120,120,Argentina,away,82,Substitution,mart铆nez,谩lvarez
121,121,Netherlands,home,83,Goal,bergwijn,berghuis
122,122,Netherlands,home,88,Yellow card,berghuis,
123,123,Argentina,away,89,Yellow card,paredes,
124,124,Argentina,away,100,Yellow card,messi,
125,125,Netherlands,home,101,Goal,Klaassen,koopmeiners
126,126,Argentina,away,101,Yellow card,otamendi,
127,127,Netherlands,home,104,Yellow card,bergwijn,
128,128,Argentina,away,105,Substitution,montiel,molina
129,129,Argentina,away,109,Yellow card,montiel,
130,130,Argentina,away,112,Substitution,di mar铆a,mart铆nez
131,131,Argentina,away,112,Yellow card,Montiel,
132,132,Netherlands,home,113,Substitution,De Jong,gakpo
133,133,Netherlands,home,,PK,,
134,134,Argentina,away,,PK,,
135,135,Netherlands,home,,PK,,
136,136,Argentina,away,,PK,,
137,137,Netherlands,home,,PK,,
138,138,Argentina,away,,PK,,
139,139,Netherlands,home,,PK,,
140,140,Argentina,away,,PK,,
141,141,Netherlands,home,,PK,,
142,142,Argentina,away,,PK,,
143,143,Netherlands,home,128,Yellow card,dumfries,
144,144,Netherlands,home,128,Yellow card,De Jong,
145,145,Netherlands,home,128,Second yellow card,dumfries,
146,146,Brazil,away,25,Yellow card,danilo,
147,147,Croatia,home,31,Yellow card,brozovi膰,
148,148,Brazil,away,56,Substitution,antony,raphinha
149,149,Brazil,away,64,Substitution,rodrygo,Alisson
150,150,Brazil,away,68,Yellow card,casemiro,
151,151,Croatia,home,72,Substitution,vla拧i膰,pa拧ali膰
152,152,Croatia,home,72,Substitution,petkovi膰,kramari膰
153,153,Brazil,away,77,Yellow card,marquinhos,
154,154,Brazil,away,84,Substitution,marquinhos,richarlison
155,155,Brazil,away,106,Goal,neymar,Bremer
156,156,Croatia,home,105,Substitution,majer,kova膷i膰
157,157,Brazil,away,105,Substitution,Martinelli,Thiago Silva
158,158,Brazil,away,105,Substitution,fred,Casemiro
159,159,Croatia,home,110,Substitution,Modri膰,sosa
160,160,Croatia,home,114,Substitution,or拧i膰,brozovi膰
161,161,Croatia,home,117,Goal,petkovi膰,or拧i膰
162,162,Croatia,home,117,Yellow card,petkovi膰,
163,163,Croatia,home,,PK,,
164,164,Brazil,away,,PK,,
165,165,Croatia,home,,PK,,
166,166,Brazil,away,,PK,,
167,167,Croatia,home,,PK,,
168,168,Brazil,away,,PK,,
169,169,Croatia,home,,PK,,
170,170,Brazil,away,,PK,,
171,171,Portugal,home,17,Goal,ramos,f茅lix
172,172,Portugal,home,33,Goal,pepe,fernandes
173,173,Switzerland,away,43,Yellow card,sch盲r,
174,174,Switzerland,away,45,Substitution,Sommer,sch盲r
175,175,Portugal,home,51,Goal,ramos,
176,176,Switzerland,away,54,Substitution,Xhaka,freuler
177,177,Switzerland,away,54,Substitution,Rodr铆guez,sow
178,178,Portugal,home,55,Goal,guerreiro,ramos
179,179,Switzerland,away,58,Goal,akanji,
180,180,Switzerland,away,59,Yellow card,Rodr铆guez,
181,181,Switzerland,away,66,Substitution,Fernandes,vargas
182,182,Portugal,home,67,Goal,ramos,f茅lix
183,183,Portugal,home,73,Substitution,ronaldo,f茅lix
184,184,Portugal,home,74,Substitution,horta,ramos
185,185,Portugal,home,74,Substitution,vitinha,ot谩vio
186,186,Portugal,home,81,Substitution,neves,silva
187,187,Portugal,home,87,Substitution,F茅lix,fernandes
188,188,Switzerland,away,89,Substitution,Sch盲r,embolo
189,189,Portugal,home,92,Goal,F茅lix,guerreiro
190,190,Spain,away,63,Substitution,morata,asensio
191,191,Spain,away,63,Substitution,Bald茅,gavi
192,192,Morocco,home,66,Substitution,Attiyat Allah,boufal
193,193,Spain,away,75,Substitution,Nico williams,Torres
194,194,Spain,away,76,Yellow card,laporte,
195,195,Morocco,home,82,Substitution,Mazraoui,amallah
196,196,Morocco,home,82,Substitution,sabiri,en-nesyri
197,197,Morocco,home,82,Substitution,attiyat allah,mazraoui
198,198,Morocco,home,84,Substitution,el yamiq,aguerd
199,199,Morocco,home,90,Yellow card,sa茂ss,
200,200,Spain,away,98,Substitution,Rodri,olmo
201,201,Spain,away,98,Substitution,bald茅,alba
202,202,Spain,away,118,Substitution,Alba,Nico williams
203,203,Morocco,home,120,Substitution,Sa茂ss,ounahi
204,204,Morocco,home,,PK,,
205,205,Spain,away,,PK,,
206,206,Morocco,home,,PK,,
207,207,Spain,away,,PK,,
208,208,Morocco,home,,PK,,
209,209,Spain,away,,PK,,
210,210,Morocco,home,,PK,,
211,211,Brazil,home,7,Goal,Raphinha,neymar
212,212,Brazil,home,13,Penalty,neymar,
213,213,Brazil,home,29,Goal,richarlison,Ederson
214,214,Brazil,home,36,Goal,Ederson,Alisson
215,215,South Korea,away,44,Yellow card,Kim Seung-gyu,
216,216,South Korea,away,45,Substitution,Lee Jae-sung,Hwang Hee-chan
217,217,South Korea,away,45,Substitution,Kim Moon-hwan,Hwang Ui-jo
218,218,Brazil,home,63,Substitution,Lucas Paquet谩,Richarlison
219,219,South Korea,away,65,Substitution,Na Sang-ho,Lee Kang-in
220,220,Brazil,home,72,Substitution,bremer,danilo
221,221,Brazil,home,72,Substitution,martinelli,Alisson
222,222,South Korea,away,74,Substitution,Kim Young-gwon,Kwon Kyung-won
223,223,South Korea,away,76,Goal,Lee Kang-in,
224,224,Brazil,home,80,Substitution,Fred,alisson
225,225,South Korea,away,80,Substitution,Kwon Chang-hoon,Jeong Woo-yeong
226,226,Brazil,home,81,Substitution,rodrygo,neymar
227,227,Japan,home,43,Goal,maeda,yoshida
228,228,Croatia,away,55,Goal,peri拧i膰,lovren
229,229,Croatia,away,62,Substitution,kova膷i膰,petkovi膰
230,230,Japan,home,64,Substitution,Kubo,nagatomo
231,231,Japan,home,64,Substitution,Gonda,maeda
232,232,Croatia,away,68,Substitution,pa拧ali膰,kramari膰
233,233,Japan,home,75,Substitution,sakai,kamada
234,234,Japan,home,87,Substitution,Morita,Ito
235,235,Croatia,away,90,Yellow card,kova膷i膰,
236,236,Croatia,away,99,Substitution,majer,modri膰
237,237,Croatia,away,99,Substitution,vla拧i膰,kova膷i膰
238,238,Japan,home,105,Substitution,tanaka,morita
239,239,Croatia,away,105,Substitution,livaja,Livakovi膰
240,240,Croatia,away,105,Substitution,or拧i膰,peri拧i膰
241,241,Croatia,away,116,Yellow card,bari拧i膰,
242,242,Japan,home,,PK,,
243,243,Croatia,away,,PK,,
244,244,Japan,home,,PK,,
245,245,Croatia,away,,PK,,
246,246,Japan,home,,PK,,
247,247,Croatia,away,,PK,,
248,248,Japan,home,,PK,,
249,249,Croatia,away,,PK,,
250,250,England,home,39,Goal,henderson,bellingham
251,251,England,home,48,Goal,kane,foden
252,252,Senegal,away,45,Substitution,gueye,ciss
253,253,Senegal,away,45,Substitution,Ciss,ndiaye
254,254,Senegal,away,45,Substitution,Jakobs,diatta
255,255,England,home,57,Goal,saka,foden
256,256,England,home,65,Substitution,rashford,saka
257,257,England,home,65,Substitution,Walker,foden
258,258,Senegal,away,72,Substitution,di茅dhiou,dia
259,259,Senegal,away,76,Yellow card,koulibaly,
260,260,England,home,76,Substitution,mount,bellingham
261,261,England,home,77,Substitution,Shaw,stones
262,262,England,home,82,Substitution,Rice,henderson
263,263,Senegal,away,84,Substitution,Mendy,jakobs
264,264,France,home,31,Yellow card,tchouam茅ni,
265,265,France,home,44,Goal,giroud,mbapp茅
266,266,Poland,away,47,Yellow card,bereszy艅ski,
267,267,Poland,away,64,Substitution,milik,szyma艅ski
268,268,France,home,66,Substitution,fofana,tchouam茅ni
269,269,Poland,away,71,Substitution,zalewski,kami艅ski
270,270,Poland,away,71,Substitution,bielik,krychowiak
271,271,France,home,74,Goal,mbapp茅,demb茅l茅
272,272,France,home,76,Substitution,Lloris,giroud
273,273,France,home,76,Substitution,coman,demb茅l茅
274,274,Poland,away,86,Substitution,Szcz臋sny,kiwior
275,275,Poland,away,87,Substitution,Krychowiak,frankowski
276,276,Poland,away,88,Yellow card,cash,
277,277,France,home,91,Goal,mbapp茅,Veretout
278,278,France,home,92,Substitution,disasi,kound茅
279,279,Poland,away,99,Penalty,lewandowski,
280,280,Australia,away,15,Yellow card,irvine,
281,281,Argentina,home,35,Goal,messi,otamendi
282,282,Australia,away,38,Yellow card,degenek,
283,283,Argentina,home,50,Substitution,mart铆nez,g贸mez
284,284,Argentina,home,57,Goal,谩lvarez,
285,285,Australia,away,58,Substitution,irvine,baccus
286,286,Australia,away,58,Substitution,goodwin,mcgree
287,287,Argentina,home,71,Substitution,mart铆nez,谩lvarez
288,288,Argentina,home,72,Substitution,tagliafico,acu帽a
289,289,Australia,away,72,Substitution,Ryan,duke
290,290,Australia,away,72,Substitution,Mooy,leckie
291,291,Australia,away,72,Substitution,kara膷i膰,degenek
292,292,Australia,away,77,Own goal,fern谩ndez,
293,293,Argentina,home,80,Substitution,montiel,mac allister
294,294,Argentina,home,80,Substitution,Di Mar铆a,molina
295,295,Netherlands,home,10,Goal,memphis,dumfries
296,296,Netherlands,home,46,Goal,blind,dumfries
297,297,Netherlands,home,45,Substitution,koopmeiners,klaassen
298,298,USA,away,45,Substitution,Turner,ferreira
299,299,Netherlands,home,45,Substitution,bergwijn,de roon
300,300,Netherlands,home,60,Yellow card,koopmeiners,
301,301,USA,away,67,Substitution,Pulisic,weah
302,302,USA,away,67,Substitution,wright,mckennie
303,303,USA,away,75,Substitution,Ream,dest
304,304,USA,away,76,Goal,wright,pulisic
305,305,Netherlands,home,81,Goal,dumfries,blind
306,306,Netherlands,home,83,Substitution,Berghuis,memphis
307,307,Netherlands,home,87,Yellow card,de jong,
308,308,USA,away,92,Substitution,Dest,robinson
309,309,Netherlands,home,93,Substitution,de ligt,ak茅
310,310,Netherlands,home,93,Substitution,Timber,gakpo
311,311,Cameroon,home,6,Yellow card,Aboubakar,
312,312,Brazil,away,7,Yellow card,marquinhos,
313,313,Cameroon,home,28,Yellow card,kunde,
314,314,Cameroon,home,32,Yellow card,Toko Ekambi,
315,315,Brazil,away,54,Substitution,marquinhos,telles
316,316,Brazil,away,55,Substitution,Casemiro,rodrygo
317,317,Brazil,away,55,Substitution,Danilo,fred
318,318,Cameroon,home,64,Substitution,toko ekambi,mbeumo
319,319,Brazil,away,64,Substitution,Fabinho,jesus
320,320,Cameroon,home,68,Substitution,aboubakar,kunde
321,321,Brazil,away,79,Substitution,raphinha,antony
322,322,Cameroon,home,81,Yellow card,aboubakar,
323,323,Brazil,away,85,Yellow card,Alex Sandro,
324,324,Cameroon,home,86,Substitution,Choupo-Moting,ngamaleu
325,325,Cameroon,home,92,Goal,aboubakar,
326,326,Cameroon,home,93,Second yellow card,aboubakar,
327,327,Switzerland,away,15,Yellow card,widmer,
328,328,Switzerland,away,20,Goal,shaqiri,sow
329,329,Serbia,home,26,Goal,mitrovi膰,tadi膰
330,330,Switzerland,away,34,Yellow card,vargas,
331,331,Serbia,home,35,Goal,vlahovi膰,
332,332,Switzerland,away,44,Goal,embolo,widmer
333,333,Serbia,home,47,Yellow card,milinkovi膰-savi膰,
334,334,Switzerland,away,48,Goal,freuler,vargas
335,335,Serbia,home,55,Substitution,gudelj,veljkovic
336,336,Serbia,home,55,Substitution,Tadi膰,vlahovi膰
337,337,Serbia,home,56,Yellow card,pavlovi膰,
338,338,Serbia,home,66,Yellow card,沤ivkovi膰,
339,339,Serbia,home,67,Substitution,maksimovi膰,milinkovi膰-savi膰
340,340,Switzerland,away,68,Substitution,fernandes,sow
341,341,Switzerland,away,69,Substitution,xhaka,shaqiri
342,342,Serbia,home,78,Substitution,gudelj,tadi膰
343,343,Serbia,home,78,Substitution,mitrovi膰,啪ivkovi膰
344,344,Serbia,home,81,Yellow card,gudelj,
345,345,Serbia,home,82,Yellow card,mitrovi膰,
346,346,Switzerland,away,83,Substitution,sch盲r,vargas
347,347,Switzerland,away,95,Yellow card,xhaka,
348,348,Serbia,home,95,Yellow card,milenkovi膰,
349,349,Switzerland,away,96,Substitution,Fernandes,embolo
350,350,Switzerland,away,99,Yellow card,sch盲r,
351,351,Serbia,home,100,Yellow card,luki膰,
352,352,Portugal,away,5,Goal,horta,dalot
353,353,South Korea,home,27,Goal,Kim Seung-gyu,
354,354,South Korea,home,36,Yellow card,Kim Seung-gyu,
355,355,Portugal,away,65,Substitution,Bernardo Silva,nunes
356,356,Portugal,away,65,Substitution,F茅lix,neves
357,357,Portugal,away,65,Substitution,silva,ronaldo
358,358,South Korea,home,66,Substitution,Lee Jae-sung,Hwang Hee-chan
359,359,South Korea,home,81,Substitution,Kim Moon-hwan,Hwang Ui-jo
